"","RG","RPL","dist_to_PG","dist_to_PL"
"p003",0.591462563500771,0.123033251430724,1.05778005375365,0.426661479370914
"p006",0.369529805434471,0.328830312657607,0.766172974145997,0.711071051835185
"p009",0.576447695961242,0.596639407846272,0.703556474976693,0.731693335524993
"p010",0.695830257280635,0.111693004240871,1.12839224813973,0.324028640064911
"p011",0.54647093650511,0.34288117948172,0.854655268938364,0.56855616668657
"p013",0.934207112986793,0.192456320452365,1.23485615532031,0.203391590936292
"p015",0.685821108896984,0.428088757454971,0.892991076527693,0.531006930156341
"p020",0.995993816391615,0.997590811928234,0.995996730154019,0.997598856029185
"p021",0.563598947685463,0.224168896914842,0.958935698754872,0.490609389234707
"p027",1,1,1,1
"p034",0.433049613708791,0.433862784445519,0.712771572643799,0.713911518496914
"p036",0.911616504993528,0.453686891293945,1.06278062878502,0.462215791077633
"p040",0.577085140092714,0.586654796578851,0.709846121428509,0.723201790013944
"p043",0.256812252685373,0.23660761379373,0.805431852143332,0.77994306886064
"p046",1,1,1,1
"p048",0.662631070171069,0.151523813574504,1.07656480254893,0.369834099149983
"p059",0.506816483219418,0.140524363211702,0.997778190729557,0.512812907286972
"p064",0.824177684331486,0.999631582130731,0.82417776667521,1.01497624931829
"p065",0.983582131807926,0.99706313756392,0.98358651636386,0.997198298576958
"p070",0.956352829767953,0.978619562186482,0.956591792838653,0.979592426963034
"p074",0.970574636818266,0.983860734023716,0.970708813981393,0.984300663391051
"p075",0.51038456693794,-0.80025640429379,1.87120697074622,0.938154350256808
"p079",0.999999996681368,0.864421893030214,1.00914885742999,0.864421893030214
"p081",0.911100231056456,0.317044814522908,1.13865333460241,0.32927280989186
"p085",1,1,1,1
"p090",0.977082342427865,0.34194104279645,1.17802015901263,0.342708178742961
"p094",0.745354249815826,0.748737048553549,0.786565972114288,0.790854996800008
"p096",0.999999999945843,0.999589336604482,1.00000008426805,0.999589336604482
"p099",0.840594396080401,0.475027841193541,0.99105736778639,0.501060471869382
"p100",0.999999998714216,0.969023233880936,1.00047966369518,0.969023233880936
"p103",0.720683097457,0.881283186115749,0.730395652272823,0.924487958913767
"p104",0.884966097540182,0.511484646262053,1.01084729046143,0.524260757712183
"p108",0.618470717900329,0.611416029380202,0.730413260505856,0.720690054102693
"p111",0.990144279026672,0.340088520069459,1.18990287613459,0.340231298852617
"p114",0.984392681859058,0.977478904042211,0.984650268806548,0.977603496427419
"p116",0.557037240098487,0.19398421769335,0.979771365260254,0.483576140203036
"p118",0.684208674063602,0.41474619505323,0.900368550021903,0.521285495527931
"p126",0.525916058934584,0.558504007646054,0.686663245200936,0.732586042545734
"p127",0.148609256128109,0.264407353706269,0.750454030762954,0.891502914995057
"p128",1,1,1,1
"p130",0.776589601536243,0.646394417261058,0.8533043521267,0.683913699824765
"p131",1,1,1,1
"p134",1,1,1,1
"p135",0.824177684331486,0.999631582130731,0.82417776667521,1.01497624931829
"p136",0.710287411134087,0.666638757358662,0.784625977463748,0.726870426527376
"p137",0.905255954272876,0.208485686399463,1.20249043712664,0.229003745895561
"p138",0.990560904299407,0.596686645062781,1.06951978354642,0.596761299787379
"p140",0.399663133599494,0.169524179117723,0.921640227761711,0.623813113412276
"p142",1,1,1,1
"p145",0.999999999916607,0.149138706340461,1.31299845425697,0.149138706340461
"p146",0.180139136047385,0.231808519606005,0.789029948028474,0.852001775821539
"p147",0.963396666293228,0.981946641298652,0.9635658049066,0.982628622825609
"p148",1,1,1,1
"p150",0.984900200215009,0.99999999927707,0.984900200215009,1.00011399475644
"p151",0.0886236300601217,0.158802337079669,0.845853211797213,0.92510813959599
